movie_title,year,star_cast,rating
Reservoir Dogs,1992,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth",8.3
The Silence of the Lambs,1991,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins",8.6
Terminator 2: Judgment Day,1991,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",8.5
Goodfellas,1990,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta",8.6
Dead Poets Society,1989,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard",8.1
Indiana Jones and the Last Crusade,1989,"Steven Spielberg (dir.), Harrison Ford, Sean Connery",8.2
Die Hard,1988,"John McTiernan (dir.), Bruce Willis, Alan Rickman",8.2
Hotaru no haka,1988,"Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi",8.5
Nuovo Cinema Paradiso,1988,"Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale",8.4
Tonari no Totoro,1988,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka",8.1
Full Metal Jacket,1987,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey",8.2
The Princess Bride,1987,"Rob Reiner (dir.), Cary Elwes, Mandy Patinkin",8.0
Stand by Me,1986,"Rob Reiner (dir.), Wil Wheaton, River Phoenix",8.1
Platoon,1986,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger",8.0
Aliens,1986,"James Cameron (dir.), Sigourney Weaver, Michael Biehn",8.3
Back to the Future,1985,"Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd",8.5
Idi i smotri,1985,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova",8.3
Ran,1985,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao",8.2
Kaze no tani no Naushika,1984,"Hayao Miyazaki (dir.), Sumi Shimamoto, Mahito Tsujimura",8.0
Amadeus,1984,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce",8.3
"Paris, Texas",1984,"Wim Wenders (dir.), Harry Dean Stanton, Nastassja Kinski",8.0
Once Upon a Time in America,1984,"Sergio Leone (dir.), Robert De Niro, James Woods",8.3
Star Wars: Episode VI - Return of the Jedi,1983,"Richard Marquand (dir.), Mark Hamill, Harrison Ford",8.3
Scarface,1983,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer",8.2
Fanny och Alexander,1982,"Ingmar Bergman (dir.), Bertil Guve, Pernilla Allwin",8.0
Blade Runner,1982,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer",8.1
The Thing,1982,"John Carpenter (dir.), Kurt Russell, Wilford Brimley",8.1
Raiders of the Lost Ark,1981,"Steven Spielberg (dir.), Harrison Ford, Karen Allen",8.4
Das Boot,1981,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer",8.3
The Elephant Man,1980,"David Lynch (dir.), Anthony Hopkins, John Hurt",8.1
Raging Bull,1980,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty",8.1
The Shining,1980,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall",8.4
Star Wars: Episode V - The Empire Strikes Back,1980,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford",8.7
Stalker,1979,"Andrei Tarkovsky (dir.), Alisa Freyndlikh, Aleksandr Kaydanovskiy",8.1
Apocalypse Now,1979,"Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando",8.4
Life of Brian,1979,"Terry Jones (dir.), Graham Chapman, John Cleese",8.0
Alien,1979,"Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt",8.4
The Deer Hunter,1978,"Michael Cimino (dir.), Robert De Niro, Christopher Walken",8.1
Höstsonaten,1978,"Ingmar Bergman (dir.), Ingrid Bergman, Liv Ullmann",8.1
Star Wars,1977,"George Lucas (dir.), Mark Hamill, Harrison Ford",8.6
Rocky,1976,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire",8.0
